t_ms,spL,vL,uL,dacL,spR,vR,uR,dacR
548185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
549985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
550985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
551985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
552985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
553985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
554985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
555745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
